id_episodio,nm_episodio,nm_genero,m3u8_url
6057,Beth Carvalho e Hamilton Hollanda / Gisa Nogueira e Paulo César Feital,Musical,https://videos.ebc.com.br/play/TVBR0264609001202210/hls/master.m3u8
6070,Nicolas Krassik e Amélia Rabello / Leandro Sapucahy e Luiza Dionízio,Musical,https://videos.ebc.com.br/play/TVBR0264609002202210/hls/master.m3u8
6164,Caetano Veloso e Thalma de Freitas / Chamon e Pedro Amorim,Musical,https://videos.ebc.com.br/play/TVBR0264609003202210/hls/master.m3u8
6265,A Portela e o Samba / Samba do Planalto,Musical,https://videos.ebc.com.br/play/TVBR0264609004202210/hls/master.m3u8
6284,Duelos no Samba / Imperatriz,Musical,https://videos.ebc.com.br/play/TVBR0264609005202210/hls/master.m3u8
6304,Samba do Trabalhador/Compositores de Samba / Piano no Samba,Musical,https://videos.ebc.com.br/play/TVBR0264609006202210/hls/master.m3u8
6325,Samba de Adoniran / Encontro de gerações,Musical,https://videos.ebc.com.br/play/TVBR0264609007202210/hls/master.m3u8
6344,Damas do Samba / O Boom do Pagode,Musical,https://videos.ebc.com.br/play/TVBR0264609008202210/hls/master.m3u8
6369,Samba Enredo Paulistano / Samba de Chico,Musical,https://videos.ebc.com.br/play/TVBR0264609009202210/hls/master.m3u8
6404,Samba de Intérpretes / A Mangueira e o Samba,Musical,https://videos.ebc.com.br/play/TVBR0264609010202210/hls/master.m3u8
6422, Samba de Breque / Samba e o Mar,Musical,https://videos.ebc.com.br/play/TVBR0264609011202210/hls/master.m3u8
6431,Todas as Melodias do Samba / O Império Serrano e o Samba,Musical,https://videos.ebc.com.br/play/TVBR0264609012202210/hls/master.m3u8
6799,A mulher na Bossa Nova / Samba de Cavaco,Musical,https://videos.ebc.com.br/play/TVBR0264611001202210/hls/master.m3u8
6814,Caldeirão do Samba / Samba de Dona Ivone,Musical,https://videos.ebc.com.br/play/TVBR0264611002202210/hls/master.m3u8
6861,Tem samba no trio elétrico / No som do Samba Jazz,Musical,https://videos.ebc.com.br/play/TVBR0264611003202210/hls/master.m3u8
6923,Samba de morro / Luiz que dá samba,Musical,https://videos.ebc.com.br/play/TVBR0264611004202210/hls/master.m3u8
6939,Samba no Sertão / Samba até o chão,Musical,https://videos.ebc.com.br/play/TVBR0264611005202210/hls/master.m3u8
6973,Samba canção / Coração Salgueirense,Musical,https://videos.ebc.com.br/play/TVBR0264611006202210/hls/master.m3u8
6975,Samba Maroto / Os Clássicos do Samba,Musical,https://videos.ebc.com.br/play/TVBR0264611007202210/hls/master.m3u8
7009,Samba para Vinícius / Samba de Lupicínio,Musical,https://videos.ebc.com.br/play/TVBR0264611008202210/hls/master.m3u8
7051,Samba do Compositor / Samba de Dorival Caymmi,Musical,https://videos.ebc.com.br/play/TVBR0264611009202210/hls/master.m3u8
7074,Samba Pérola Negra e 80 anos de Candeia,Musical,https://videos.ebc.com.br/play/TVBR0264611010202210/hls/master.m3u8
7113,O Samba eo o Rio / Samba dos serenos,Musical,https://videos.ebc.com.br/play/TVBR0264611011202210/hls/master.m3u8
7195,Samba Baby / Samba Esquema novo,Musical,https://videos.ebc.com.br/play/TVBR0264611012202210/hls/master.m3u8
7200,O vírus do Samba / Musas do Samba,Musical,https://videos.ebc.com.br/play/TVBR0264611013202210/hls/master.m3u8
7221,Samba da Fafá / Samba da Velha Guarda,Musical,https://videos.ebc.com.br/play/TVBR0264611014202210/hls/master.m3u8
7239,Samba em Cy / Samba de pai pra filho,Musical,https://videos.ebc.com.br/play/TVBR0264611015202210/hls/master.m3u8
7258,Nova Geração / Samba Canção,Musical,https://videos.ebc.com.br/play/TVBR0264611016202210/hls/master.m3u8
7270,Fábrica de Sucessos / Samba nos Palcos,Musical,https://videos.ebc.com.br/play/TVBR0264611017202210/hls/master.m3u8
6485,Paulinho da Viola - 70 anos do Samba / Fábrica de Samba,Musical,https://videos.ebc.com.br/play/TVBR0264610001202210/hls/master.m3u8
6490,Parabéns Monarco / Samba sem Rótulos,Musical,https://videos.ebc.com.br/play/TVBR0264610002202210/hls/master.m3u8
6498,"Turma do Pagode / A Estrada do samba, Karina e Dudu Nobre",Musical,https://videos.ebc.com.br/play/TVBR0264610003202210/hls/master.m3u8
6538,Samba de Bloco / Almirzinho e Serginho Madureira,Musical,https://videos.ebc.com.br/play/TVBR0264610004202210/hls/master.m3u8
6545, O Rap cai no Samba / Samba pro ano Inteiro,Musical,https://videos.ebc.com.br/play/TVBR0264610005202210/hls/master.m3u8
6568,Samba suburbano / A levada feminina do samba,Musical,https://videos.ebc.com.br/play/TVBR0264610006202210/hls/master.m3u8
6631, A madrinha do Samba/ Composição do Samba,Musical,https://videos.ebc.com.br/play/TVBR0264610007202210/hls/master.m3u8
6648,"Tem diva no samba/ Samba, lalá",Musical,https://videos.ebc.com.br/play/TVBR0264610008202210/hls/master.m3u8
6686,Samba muito bem interpretado / Os migrantes do samba,Musical,https://videos.ebc.com.br/play/TVBR0264610009202210/hls/master.m3u8
6719,De samba eu não abro mão / Os ritmos de Pernambuco,Musical,https://videos.ebc.com.br/play/TVBR0264610010202210/hls/master.m3u8
6743,Esse samba eu assino embaixo / A nova geração de compositores,Musical,https://videos.ebc.com.br/play/TVBR0264610011202210/hls/master.m3u8
1370,80 Anos de Martinho da Vila / Samba de Noel - Teresa Cristina	,Musical,https://videos.ebc.com.br/play/58820/hls/master.m3u8
1371,Samba do Trabalhador (Nego Silva e Nego Álvaro) / Samba de Arlindo (Arlindinho e Sombrinha)	,Musical,https://videos.ebc.com.br/play/59196/hls/master.m3u8
1372,Samba da Serrinha (Pretinho da Serrinha e Zé Luis do Império) / Samba em Família (Gisa Nogueira e Didu)	,Musical,https://videos.ebc.com.br/play/59302/hls/master.m3u8
1401,"Um herói do samba / Novos talentos do samba, Renato da Rocinha e Hamilton Fofão",Musical,https://videos.ebc.com.br/play/59414/hls/master.m3u8
1402,Casuarina e dupla Prettos,Musical,https://videos.ebc.com.br/play/59588/hls/master.m3u8
1408,Samba Instrumental/ Tem novidade no samba( Inova Samba),Musical,https://videos.ebc.com.br/play/59740/hls/master.m3u8
1436,Raça Brasileira (Pedrinho da Flor e Elaine Machado) / Bahia 70,Musical,https://videos.ebc.com.br/play/60081/hls/master.m3u8
1440,Samba das Meninas / Pagode 90,Musical,https://videos.ebc.com.br/play/60356/hls/master.m3u8
1471,Caldeirão do Samba / Tem samba no Trio elétrico,Musical,https://videos.ebc.com.br/play/60485/hls/master.m3u8
1475,No Som do Sambajazz / Luiz que dá Samba,Musical,https://videos.ebc.com.br/play/60633/hls/master.m3u8
1640,Samba de morro / Samba até o chão,Musical,https://videos.ebc.com.br/play/60872/hls/master.m3u8
1647,Samba no Sertão / Samba Maroto,Musical,https://videos.ebc.com.br/play/61305/hls/master.m3u8
144,Martinho da Vila,Musical,https://videos.ebc.com.br/play/48150/hls/master.m3u8
371,Samba de Noel,Musical,https://videos.ebc.com.br/play/49681/hls/master.m3u8
372,Samba do trabalhador,Musical,https://videos.ebc.com.br/play/49702/hls/master.m3u8
373,Samba do Arlindo,Musical,https://videos.ebc.com.br/play/49706/hls/master.m3u8
2192,Samba na Serrinha,Musical,https://videos.ebc.com.br/play/73461/hls/master.m3u8
375,Samba em família,Musical,https://videos.ebc.com.br/play/49703/hls/master.m3u8
2237,Novos talentos do samba,Musical,https://videos.ebc.com.br/play/73534/hls/master.m3u8
145,Zeca Pagodinho,Musical,https://videos.ebc.com.br/play/48437/hls/master.m3u8
379,Da raiz ao futuro,Musical,https://videos.ebc.com.br/play/49720/hls/master.m3u8
380,Samba dos Prettos,Musical,https://videos.ebc.com.br/play/49721/hls/master.m3u8
2240,Samba instrumental,Musical,https://videos.ebc.com.br/play/73537/hls/master.m3u8
383,Raça Brasileira,Musical,https://videos.ebc.com.br/play/49740/hls/master.m3u8
384,Bahia 70,Musical,https://videos.ebc.com.br/play/49741/hls/master.m3u8
385,Samba das meninas,Musical,https://videos.ebc.com.br/play/49744/hls/master.m3u8
147,Pagode 90,Musical,https://videos.ebc.com.br/play/48433/hls/master.m3u8
386,Devotos da canção,Musical,https://videos.ebc.com.br/play/49746/hls/master.m3u8
387,40 anos de pé no chão,Musical,https://videos.ebc.com.br/play/49748/hls/master.m3u8
388,Viva Lapa,Musical,https://videos.ebc.com.br/play/49749/hls/master.m3u8
389,Compositores de sucesso,Musical,https://videos.ebc.com.br/play/49751/hls/master.m3u8
390,Salve os versadores,Musical,https://videos.ebc.com.br/play/49750/hls/master.m3u8
9885,Zeca Pagodinho,Musical,https://videos.ebc.com.br/play/TVBR0264612001202410/hls/master.m3u8
9896,Xande de Pilares,Musical,https://videos.ebc.com.br/play/TVBR0264612002202410/hls/master.m3u8
9920,Leci Brandão,Musical,https://videos.ebc.com.br/play/TVBR0264612003202410/hls/master.m3u8
9945,Marina Íris,Musical,https://videos.ebc.com.br/play/TVBR0264612004202410/hls/master.m3u8
9963,Tia Surica,Musical,https://videos.ebc.com.br/play/TVBR0264612005202410/hls/master.m3u8
9984,Nelson Ruffino,Musical,https://videos.ebc.com.br/play/TVBR0264612006202510/hls/master.m3u8
10008,Péricles,Musical,https://videos.ebc.com.br/play/TVBR0264612007202510/hls/master.m3u8
10032,Grupo Semente,Musical,https://videos.ebc.com.br/play/TVBR0264612008202510/hls/master.m3u8
10049,Serginho Meriti,Musical,https://videos.ebc.com.br/play/TVBR0264612009202510/hls/master.m3u8
10089,Toninho Geraes,Musical,https://videos.ebc.com.br/play/TVBR0264612010202510/hls/master.m3u8
10118,Fred Camacho,Musical,https://videos.ebc.com.br/play/TVBR0264612011202510/hls/master.m3u8
10134,Milton Cunha,Musical,https://videos.ebc.com.br/play/TVBR0264612012202510/hls/master.m3u8
10151,Neguinho da Beija-flor,Musical,https://videos.ebc.com.br/play/TVBR0264612013202510/hls/master.m3u8
10163,Zé Roberto,Musical,https://videos.ebc.com.br/play/TVBR0264612014202510/hls/master.m3u8
10174,Luiza Dionísio,Musical,https://videos.ebc.com.br/play/TVBR0264612015202510/hls/master.m3u8
10185,Arlindinho,Musical,https://videos.ebc.com.br/play/TVBR0264612016202510/hls/master.m3u8
10200,Aline Calixto,Musical,https://videos.ebc.com.br/play/TVBR0264612017202510/hls/master.m3u8
10209,Marquinhos de Oswaldo Cruz,Musical,https://videos.ebc.com.br/play/TVBR0264612018202510/hls/master.m3u8
10222,Nilze Carvalho,Musical,https://videos.ebc.com.br/play/TVBR0264612019202510/hls/master.m3u8
10244,Dudu Nobre,Musical,https://videos.ebc.com.br/play/TVBR0264612020202510/hls/master.m3u8
10261,Mauro Diniz,Musical,https://videos.ebc.com.br/play/TVBR0264612021202510/hls/master.m3u8
10280,Simone Mazzer,Musical,https://videos.ebc.com.br/play/TVBR0264612022202510/hls/master.m3u8
10293,Jorge Aragão,Musical,https://videos.ebc.com.br/play/TVBR0264612023202510/hls/master.m3u8
10344,Paulão Sete Cordas e Agenor de Oliveira,Musical,https://videos.ebc.com.br/play/TVBR0264612024202510/hls/master.m3u8
10364,Nina Rosa e Marcelle Motta,Musical,https://videos.ebc.com.br/play/TVBR0264612025202510/hls/master.m3u8
10380,Zé Renato,Musical,https://videos.ebc.com.br/play/TVBR0264612026202510/hls/master.m3u8
10395,Áurea Martins,Musical,https://videos.ebc.com.br/play/TVBR0264612027202510/hls/master.m3u8
10408,Moyseis Marques,Musical,https://videos.ebc.com.br/play/TVBR0264612028202510/hls/master.m3u8
10440,Moacyr Luz,Musical,https://videos.ebc.com.br/play/TVBR0264612029202510/hls/master.m3u8
10455,Mariene de Castro,Musical,https://videos.ebc.com.br/play/TVBR0264612030202510/hls/master.m3u8
